,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,relatives,not_alone
90,0,3,male,29.0,0,0,343276,8.05,S,0,1
91,0,3,male,20.0,0,0,347466,7.8542,S,0,1
92,0,1,male,46.0,1,0,W.E.P. 5734,61.175,S,1,0
93,0,3,male,26.0,1,2,C.A. 2315,20.575,S,3,0
94,0,3,male,59.0,0,0,364500,7.25,S,0,1
95,0,3,male,28.0,0,0,374910,8.05,S,0,1
96,0,1,male,71.0,0,0,PC 17754,34.6542,C,0,1
97,1,1,male,23.0,0,1,PC 17759,63.3583,C,1,0
98,1,2,female,34.0,0,1,231919,23.0,S,1,0
99,0,2,male,34.0,1,0,244367,26.0,S,1,0
100,0,3,female,28.0,0,0,349245,7.8958,S,0,1
101,0,3,male,28.0,0,0,349215,7.8958,S,0,1
102,0,1,male,21.0,0,1,35281,77.2875,S,1,0
103,0,3,male,33.0,0,0,7540,8.6542,S,0,1
104,0,3,male,37.0,2,0,3101276,7.925,S,2,0
105,0,3,male,28.0,0,0,349207,7.8958,S,0,1
106,1,3,female,21.0,0,0,343120,7.65,S,0,1
107,1,3,male,28.0,0,0,312991,7.775,S,0,1
108,0,3,male,38.0,0,0,349249,7.8958,S,0,1
109,1,3,female,28.0,1,0,371110,24.15,Q,1,0
110,0,1,male,47.0,0,0,110465,52.0,S,0,1
111,0,3,female,14.5,1,0,2665,14.4542,C,1,0
112,0,3,male,22.0,0,0,324669,8.05,S,0,1
113,0,3,female,20.0,1,0,4136,9.825,S,1,0
114,0,3,female,17.0,0,0,2627,14.4583,C,0,1
115,0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,S,0,1
116,0,3,male,70.5,0,0,370369,7.75,Q,0,1
117,0,2,male,29.0,1,0,11668,21.0,S,1,0
118,0,1,male,24.0,0,1,PC 17558,247.5208,C,1,0
119,0,3,female,2.0,4,2,347082,31.275,S,6,0
120,0,2,male,21.0,2,0,S.O.C. 14879,73.5,S,2,0
121,0,3,male,28.0,0,0,A4. 54510,8.05,S,0,1
122,0,2,male,32.5,1,0,237736,30.0708,C,1,0
123,1,2,female,32.5,0,0,27267,13.0,S,0,1
124,0,1,male,54.0,0,1,35281,77.2875,S,1,0
125,1,3,male,12.0,1,0,2651,11.2417,C,1,0
126,0,3,male,28.0,0,0,370372,7.75,Q,0,1
127,1,3,male,24.0,0,0,C 17369,7.1417,S,0,1
128,1,3,female,28.0,1,1,2668,22.3583,C,2,0
129,0,3,male,45.0,0,0,347061,6.975,S,0,1
130,0,3,male,33.0,0,0,349241,7.8958,C,0,1
131,0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,0,1
132,0,3,female,47.0,1,0,A/5. 3337,14.5,S,1,0
133,1,2,female,29.0,1,0,228414,26.0,S,1,0
134,0,2,male,25.0,0,0,C.A. 29178,13.0,S,0,1
135,0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,C,0,1
136,1,1,female,19.0,0,2,11752,26.2833,S,2,0
137,0,1,male,37.0,1,0,113803,53.1,S,1,0
138,0,3,male,16.0,0,0,7534,9.2167,S,0,1
139,0,1,male,24.0,0,0,PC 17593,79.2,C,0,1
140,0,3,female,28.0,0,2,2678,15.2458,C,2,0
141,1,3,female,22.0,0,0,347081,7.75,S,0,1
142,1,3,female,24.0,1,0,STON/O2. 3101279,15.85,S,1,0
143,0,3,male,19.0,0,0,365222,6.75,Q,0,1
144,0,2,male,18.0,0,0,231945,11.5,S,0,1
145,0,2,male,19.0,1,1,C.A. 33112,36.75,S,2,0
146,1,3,male,27.0,0,0,350043,7.7958,S,0,1
147,0,3,female,9.0,2,2,W./C. 6608,34.375,S,4,0
148,0,2,male,36.5,0,2,230080,26.0,S,2,0
149,0,2,male,42.0,0,0,244310,13.0,S,0,1
150,0,2,male,51.0,0,0,S.O.P. 1166,12.525,S,0,1
151,1,1,female,22.0,1,0,113776,66.6,S,1,0
152,0,3,male,55.5,0,0,A.5. 11206,8.05,S,0,1
153,0,3,male,40.5,0,2,A/5. 851,14.5,S,2,0
154,0,3,male,28.0,0,0,Fa 265302,7.3125,S,0,1
155,0,1,male,51.0,0,1,PC 17597,61.3792,C,1,0
156,1,3,female,16.0,0,0,35851,7.7333,Q,0,1
157,0,3,male,30.0,0,0,SOTON/OQ 392090,8.05,S,0,1
158,0,3,male,28.0,0,0,315037,8.6625,S,0,1
159,0,3,male,28.0,8,2,CA. 2343,69.55,S,10,0
160,0,3,male,44.0,0,1,371362,16.1,S,1,0
161,1,2,female,40.0,0,0,C.A. 33595,15.75,S,0,1
162,0,3,male,26.0,0,0,347068,7.775,S,0,1
163,0,3,male,17.0,0,0,315093,8.6625,S,0,1
164,0,3,male,1.0,4,1,3101295,39.6875,S,5,0
165,1,3,male,9.0,0,2,363291,20.525,S,2,0
166,1,1,female,28.0,0,1,113505,55.0,S,1,0
167,0,3,female,45.0,1,4,347088,27.9,S,5,0
168,0,1,male,28.0,0,0,PC 17318,25.925,S,0,1
169,0,3,male,28.0,0,0,1601,56.4958,S,0,1
170,0,1,male,61.0,0,0,111240,33.5,S,0,1
171,0,3,male,4.0,4,1,382652,29.125,Q,5,0
172,1,3,female,1.0,1,1,347742,11.1333,S,2,0
173,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,S,0,1
174,0,1,male,56.0,0,0,17764,30.6958,C,0,1
175,0,3,male,18.0,1,1,350404,7.8542,S,2,0
176,0,3,male,28.0,3,1,4133,25.4667,S,4,0
177,0,1,female,50.0,0,0,PC 17595,28.7125,C,0,1
178,0,2,male,30.0,0,0,250653,13.0,S,0,1
179,0,3,male,36.0,0,0,LINE,0.0,S,0,1
180,0,3,female,28.0,8,2,CA. 2343,69.55,S,10,0
181,0,2,male,28.0,0,0,SC/PARIS 2131,15.05,C,0,1
182,0,3,male,9.0,4,2,347077,31.3875,S,6,0
183,1,2,male,1.0,2,1,230136,39.0,S,3,0
184,1,3,female,4.0,0,2,315153,22.025,S,2,0
185,0,1,male,28.0,0,0,113767,50.0,S,0,1
186,1,3,female,28.0,1,0,370365,15.5,Q,1,0
187,1,1,male,45.0,0,0,111428,26.55,S,0,1
188,0,3,male,40.0,1,1,364849,15.5,Q,2,0
189,0,3,male,36.0,0,0,349247,7.8958,S,0,1
190,1,2,female,32.0,0,0,234604,13.0,S,0,1
191,0,2,male,19.0,0,0,28424,13.0,S,0,1
192,1,3,female,19.0,1,0,350046,7.8542,S,1,0
193,1,2,male,3.0,1,1,230080,26.0,S,2,0
194,1,1,female,44.0,0,0,PC 17610,27.7208,C,0,1
195,1,1,female,58.0,0,0,PC 17569,146.5208,C,0,1
196,0,3,male,28.0,0,0,368703,7.75,Q,0,1
197,0,3,male,42.0,0,1,4579,8.4042,S,1,0
198,1,3,female,28.0,0,0,370370,7.75,Q,0,1
199,0,2,female,24.0,0,0,248747,13.0,S,0,1
200,0,3,male,28.0,0,0,345770,9.5,S,0,1
201,0,3,male,28.0,8,2,CA. 2343,69.55,S,10,0
202,0,3,male,34.0,0,0,3101264,6.4958,S,0,1
203,0,3,male,45.5,0,0,2628,7.225,C,0,1
204,1,3,male,18.0,0,0,A/5 3540,8.05,S,0,1
205,0,3,female,2.0,0,1,347054,10.4625,S,1,0
206,0,3,male,32.0,1,0,3101278,15.85,S,1,0
207,1,3,male,26.0,0,0,2699,18.7875,C,0,1
208,1,3,female,16.0,0,0,367231,7.75,Q,0,1
209,1,1,male,40.0,0,0,112277,31.0,C,0,1
210,0,3,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,S,0,1
211,1,2,female,35.0,0,0,F.C.C. 13528,21.0,S,0,1
212,0,3,male,22.0,0,0,A/5 21174,7.25,S,0,1
213,0,2,male,30.0,0,0,250646,13.0,S,0,1
214,0,3,male,28.0,1,0,367229,7.75,Q,1,0
215,1,1,female,31.0,1,0,35273,113.275,C,1,0
216,1,3,female,27.0,0,0,STON/O2. 3101283,7.925,S,0,1
217,0,2,male,42.0,1,0,243847,27.0,S,1,0
218,1,1,female,32.0,0,0,11813,76.2917,C,0,1
219,0,2,male,30.0,0,0,W/C 14208,10.5,S,0,1
220,1,3,male,16.0,0,0,SOTON/OQ 392089,8.05,S,0,1
221,0,2,male,27.0,0,0,220367,13.0,S,0,1
222,0,3,male,51.0,0,0,21440,8.05,S,0,1
223,0,3,male,28.0,0,0,349234,7.8958,S,0,1
224,1,1,male,38.0,1,0,19943,90.0,S,1,0
225,0,3,male,22.0,0,0,PP 4348,9.35,S,0,1
226,1,2,male,19.0,0,0,SW/PP 751,10.5,S,0,1
227,0,3,male,20.5,0,0,A/5 21173,7.25,S,0,1
228,0,2,male,18.0,0,0,236171,13.0,S,0,1
229,0,3,female,28.0,3,1,4133,25.4667,S,4,0
230,1,1,female,35.0,1,0,36973,83.475,S,1,0
231,0,3,male,29.0,0,0,347067,7.775,S,0,1
232,0,2,male,59.0,0,0,237442,13.5,S,0,1
233,1,3,female,5.0,4,2,347077,31.3875,S,6,0
234,0,2,male,24.0,0,0,C.A. 29566,10.5,S,0,1
235,0,3,female,28.0,0,0,W./C. 6609,7.55,S,0,1
236,0,2,male,44.0,1,0,26707,26.0,S,1,0
237,1,2,female,8.0,0,2,C.A. 31921,26.25,S,2,0
238,0,2,male,19.0,0,0,28665,10.5,S,0,1
239,0,2,male,33.0,0,0,SCO/W 1585,12.275,S,0,1
240,0,3,female,28.0,1,0,2665,14.4542,C,1,0
241,1,3,female,28.0,1,0,367230,15.5,Q,1,0
242,0,2,male,29.0,0,0,W./C. 14263,10.5,S,0,1
243,0,3,male,22.0,0,0,STON/O 2. 3101275,7.125,S,0,1
244,0,3,male,30.0,0,0,2694,7.225,C,0,1
245,0,1,male,44.0,2,0,19928,90.0,Q,2,0
246,0,3,female,25.0,0,0,347071,7.775,S,0,1
247,1,2,female,24.0,0,2,250649,14.5,S,2,0
248,1,1,male,37.0,1,1,11751,52.5542,S,2,0
249,0,2,male,54.0,1,0,244252,26.0,S,1,0
250,0,3,male,28.0,0,0,362316,7.25,S,0,1
251,0,3,female,29.0,1,1,347054,10.4625,S,2,0
252,0,1,male,62.0,0,0,113514,26.55,S,0,1
253,0,3,male,30.0,1,0,A/5. 3336,16.1,S,1,0
254,0,3,female,41.0,0,2,370129,20.2125,S,2,0
255,1,3,female,29.0,0,2,2650,15.2458,C,2,0
256,1,1,female,28.0,0,0,PC 17585,79.2,C,0,1
257,1,1,female,30.0,0,0,110152,86.5,S,0,1
258,1,1,female,35.0,0,0,PC 17755,512.3292,C,0,1
259,1,2,female,50.0,0,1,230433,26.0,S,1,0
260,0,3,male,28.0,0,0,384461,7.75,Q,0,1
261,1,3,male,3.0,4,2,347077,31.3875,S,6,0
262,0,1,male,52.0,1,1,110413,79.65,S,2,0
263,0,1,male,40.0,0,0,112059,0.0,S,0,1
264,0,3,female,28.0,0,0,382649,7.75,Q,0,1
265,0,2,male,36.0,0,0,C.A. 17248,10.5,S,0,1
266,0,3,male,16.0,4,1,3101295,39.6875,S,5,0
267,1,3,male,25.0,1,0,347083,7.775,S,1,0
268,1,1,female,58.0,0,1,PC 17582,153.4625,S,1,0
269,1,1,female,35.0,0,0,PC 17760,135.6333,S,0,1
270,0,1,male,28.0,0,0,113798,31.0,S,0,1
271,1,3,male,25.0,0,0,LINE,0.0,S,0,1
272,1,2,female,41.0,0,1,250644,19.5,S,1,0
273,0,1,male,37.0,0,1,PC 17596,29.7,C,1,0
274,1,3,female,28.0,0,0,370375,7.75,Q,0,1
275,1,1,female,63.0,1,0,13502,77.9583,S,1,0
276,0,3,female,45.0,0,0,347073,7.75,S,0,1
277,0,2,male,28.0,0,0,239853,0.0,S,0,1
278,0,3,male,7.0,4,1,382652,29.125,Q,5,0
279,1,3,female,35.0,1,1,C.A. 2673,20.25,S,2,0
280,0,3,male,65.0,0,0,336439,7.75,Q,0,1
281,0,3,male,28.0,0,0,347464,7.8542,S,0,1
282,0,3,male,16.0,0,0,345778,9.5,S,0,1
283,1,3,male,19.0,0,0,A/5. 10482,8.05,S,0,1
284,0,1,male,28.0,0,0,113056,26.0,S,0,1
285,0,3,male,33.0,0,0,349239,8.6625,C,0,1
286,1,3,male,30.0,0,0,345774,9.5,S,0,1
287,0,3,male,22.0,0,0,349206,7.8958,S,0,1
288,1,2,male,42.0,0,0,237798,13.0,S,0,1
289,1,3,female,22.0,0,0,370373,7.75,Q,0,1
290,1,1,female,26.0,0,0,19877,78.85,S,0,1
291,1,1,female,19.0,1,0,11967,91.0792,C,1,0
292,0,2,male,36.0,0,0,SC/Paris 2163,12.875,C,0,1
293,0,3,female,24.0,0,0,349236,8.85,S,0,1
294,0,3,male,24.0,0,0,349233,7.8958,S,0,1
295,0,1,male,28.0,0,0,PC 17612,27.7208,C,0,1
296,0,3,male,23.5,0,0,2693,7.2292,C,0,1
297,0,1,female,2.0,1,2,113781,151.55,S,3,0
298,1,1,male,28.0,0,0,19988,30.5,S,0,1
299,1,1,female,50.0,0,1,PC 17558,247.5208,C,1,0
300,1,3,female,28.0,0,0,9234,7.75,Q,0,1
301,1,3,male,28.0,2,0,367226,23.25,Q,2,0
302,0,3,male,19.0,0,0,LINE,0.0,S,0,1
303,1,2,female,28.0,0,0,226593,12.35,Q,0,1
304,0,3,male,28.0,0,0,A/5 2466,8.05,S,0,1
305,1,1,male,0.92,1,2,113781,151.55,S,3,0
306,1,1,female,28.0,0,0,17421,110.8833,C,0,1
307,1,1,female,17.0,1,0,PC 17758,108.9,C,1,0
308,0,2,male,30.0,1,0,P/PP 3381,24.0,C,1,0
309,1,1,female,30.0,0,0,PC 17485,56.9292,C,0,1
310,1,1,female,24.0,0,0,11767,83.1583,C,0,1
311,1,1,female,18.0,2,2,PC 17608,262.375,C,4,0
312,0,2,female,26.0,1,1,250651,26.0,S,2,0
313,0,3,male,28.0,0,0,349243,7.8958,S,0,1
314,0,2,male,43.0,1,1,F.C.C. 13529,26.25,S,2,0
315,1,3,female,26.0,0,0,347470,7.8542,S,0,1
316,1,2,female,24.0,1,0,244367,26.0,S,1,0
317,0,2,male,54.0,0,0,29011,14.0,S,0,1
318,1,1,female,31.0,0,2,36928,164.8667,S,2,0
319,1,1,female,40.0,1,1,16966,134.5,C,2,0
320,0,3,male,22.0,0,0,A/5 21172,7.25,S,0,1
321,0,3,male,27.0,0,0,349219,7.8958,S,0,1
322,1,2,female,30.0,0,0,234818,12.35,Q,0,1
323,1,2,female,22.0,1,1,248738,29.0,S,2,0
324,0,3,male,28.0,8,2,CA. 2343,69.55,S,10,0
325,1,1,female,36.0,0,0,PC 17760,135.6333,C,0,1
326,0,3,male,61.0,0,0,345364,6.2375,S,0,1
327,1,2,female,36.0,0,0,28551,13.0,S,0,1
328,1,3,female,31.0,1,1,363291,20.525,S,2,0
329,1,1,female,16.0,0,1,111361,57.9792,C,1,0
330,1,3,female,28.0,2,0,367226,23.25,Q,2,0
331,0,1,male,45.5,0,0,113043,28.5,S,0,1
332,0,1,male,38.0,0,1,PC 17582,153.4625,S,1,0
333,0,3,male,16.0,2,0,345764,18.0,S,2,0
334,1,1,female,28.0,1,0,PC 17611,133.65,S,1,0
335,0,3,male,28.0,0,0,349225,7.8958,S,0,1
336,0,1,male,29.0,1,0,113776,66.6,S,1,0
337,1,1,female,41.0,0,0,16966,134.5,C,0,1
338,1,3,male,45.0,0,0,7598,8.05,S,0,1
339,0,1,male,45.0,0,0,113784,35.5,S,0,1
340,1,2,male,2.0,1,1,230080,26.0,S,2,0
341,1,1,female,24.0,3,2,19950,263.0,S,5,0
342,0,2,male,28.0,0,0,248740,13.0,S,0,1
343,0,2,male,25.0,0,0,244361,13.0,S,0,1
344,0,2,male,36.0,0,0,229236,13.0,S,0,1
345,1,2,female,24.0,0,0,248733,13.0,S,0,1
346,1,2,female,40.0,0,0,31418,13.0,S,0,1
347,1,3,female,28.0,1,0,386525,16.1,S,1,0
348,1,3,male,3.0,1,1,C.A. 37671,15.9,S,2,0
349,0,3,male,42.0,0,0,315088,8.6625,S,0,1
350,0,3,male,23.0,0,0,7267,9.225,S,0,1
351,0,1,male,28.0,0,0,113510,35.0,S,0,1
352,0,3,male,15.0,1,1,2695,7.2292,C,2,0
353,0,3,male,25.0,1,0,349237,17.8,S,1,0
354,0,3,male,28.0,0,0,2647,7.225,C,0,1
355,0,3,male,28.0,0,0,345783,9.5,S,0,1
356,1,1,female,22.0,0,1,113505,55.0,S,1,0
357,0,2,female,38.0,0,0,237671,13.0,S,0,1
358,1,3,female,28.0,0,0,330931,7.8792,Q,0,1
359,1,3,female,28.0,0,0,330980,7.8792,Q,0,1
360,0,3,male,40.0,1,4,347088,27.9,S,5,0
361,0,2,male,29.0,1,0,SC/PARIS 2167,27.7208,C,1,0
362,0,3,female,45.0,0,1,2691,14.4542,C,1,0
363,0,3,male,35.0,0,0,SOTON/O.Q. 3101310,7.05,S,0,1
364,0,3,male,28.0,1,0,370365,15.5,Q,1,0
365,0,3,male,30.0,0,0,C 7076,7.25,S,0,1
366,1,1,female,60.0,1,0,110813,75.25,C,1,0
367,1,3,female,28.0,0,0,2626,7.2292,C,0,1
368,1,3,female,28.0,0,0,14313,7.75,Q,0,1
369,1,1,female,24.0,0,0,PC 17477,69.3,C,0,1
370,1,1,male,25.0,1,0,11765,55.4417,C,1,0
371,0,3,male,18.0,1,0,3101267,6.4958,S,1,0
372,0,3,male,19.0,0,0,323951,8.05,S,0,1
373,0,1,male,22.0,0,0,PC 17760,135.6333,C,0,1
374,0,3,female,3.0,3,1,349909,21.075,S,4,0
375,1,1,female,28.0,1,0,PC 17604,82.1708,C,1,0
376,1,3,female,22.0,0,0,C 7077,7.25,S,0,1
377,0,1,male,27.0,0,2,113503,211.5,C,2,0
378,0,3,male,20.0,0,0,2648,4.0125,C,0,1
379,0,3,male,19.0,0,0,347069,7.775,S,0,1
380,1,1,female,42.0,0,0,PC 17757,227.525,C,0,1
381,1,3,female,1.0,0,2,2653,15.7417,C,2,0
382,0,3,male,32.0,0,0,STON/O 2. 3101293,7.925,S,0,1
383,1,1,female,35.0,1,0,113789,52.0,S,1,0
384,0,3,male,28.0,0,0,349227,7.8958,S,0,1
385,0,2,male,18.0,0,0,S.O.C. 14879,73.5,S,0,1
386,0,3,male,1.0,5,2,CA 2144,46.9,S,7,0
387,1,2,female,36.0,0,0,27849,13.0,S,0,1
388,0,3,male,28.0,0,0,367655,7.7292,Q,0,1
389,1,2,female,17.0,0,0,SC 1748,12.0,C,0,1
390,1,1,male,36.0,1,2,113760,120.0,S,3,0
391,1,3,male,21.0,0,0,350034,7.7958,S,0,1
392,0,3,male,28.0,2,0,3101277,7.925,S,2,0
393,1,1,female,23.0,1,0,35273,113.275,C,1,0
394,1,3,female,24.0,0,2,PP 9549,16.7,S,2,0
395,0,3,male,22.0,0,0,350052,7.7958,S,0,1
396,0,3,female,31.0,0,0,350407,7.8542,S,0,1
397,0,2,male,46.0,0,0,28403,26.0,S,0,1
398,0,2,male,23.0,0,0,244278,10.5,S,0,1
399,1,2,female,28.0,0,0,240929,12.65,S,0,1
400,1,3,male,39.0,0,0,STON/O 2. 3101289,7.925,S,0,1
401,0,3,male,26.0,0,0,341826,8.05,S,0,1
402,0,3,female,21.0,1,0,4137,9.825,S,1,0
403,0,3,male,28.0,1,0,STON/O2. 3101279,15.85,S,1,0
404,0,3,female,20.0,0,0,315096,8.6625,S,0,1
405,0,2,male,34.0,1,0,28664,21.0,S,1,0
406,0,3,male,51.0,0,0,347064,7.75,S,0,1
407,1,2,male,3.0,1,1,29106,18.75,S,2,0
408,0,3,male,21.0,0,0,312992,7.775,S,0,1
409,0,3,female,28.0,3,1,4133,25.4667,S,4,0
410,0,3,male,28.0,0,0,349222,7.8958,S,0,1
411,0,3,male,28.0,0,0,394140,6.8583,Q,0,1
412,1,1,female,33.0,1,0,19928,90.0,Q,1,0
413,0,2,male,28.0,0,0,239853,0.0,S,0,1
414,1,3,male,44.0,0,0,STON/O 2. 3101269,7.925,S,0,1
415,0,3,female,28.0,0,0,343095,8.05,S,0,1
416,1,2,female,34.0,1,1,28220,32.5,S,2,0
417,1,2,female,18.0,0,2,250652,13.0,S,2,0
418,0,2,male,30.0,0,0,28228,13.0,S,0,1
419,0,3,female,10.0,0,2,345773,24.15,S,2,0
420,0,3,male,28.0,0,0,349254,7.8958,C,0,1
421,0,3,male,21.0,0,0,A/5. 13032,7.7333,Q,0,1
422,0,3,male,29.0,0,0,315082,7.875,S,0,1
423,0,3,female,28.0,1,1,347080,14.4,S,2,0
424,0,3,male,18.0,1,1,370129,20.2125,S,2,0
425,0,3,male,28.0,0,0,A/4. 34244,7.25,S,0,1
426,1,2,female,28.0,1,0,2003,26.0,S,1,0
427,1,2,female,19.0,0,0,250655,26.0,S,0,1
428,0,3,male,28.0,0,0,364851,7.75,Q,0,1
429,1,3,male,32.0,0,0,SOTON/O.Q. 392078,8.05,S,0,1
430,1,1,male,28.0,0,0,110564,26.55,S,0,1
431,1,3,female,28.0,1,0,376564,16.1,S,1,0
432,1,2,female,42.0,1,0,SC/AH 3085,26.0,S,1,0
433,0,3,male,17.0,0,0,STON/O 2. 3101274,7.125,S,0,1
434,0,1,male,50.0,1,0,13507,55.9,S,1,0
435,1,1,female,14.0,1,2,113760,120.0,S,3,0
436,0,3,female,21.0,2,2,W./C. 6608,34.375,S,4,0
437,1,2,female,24.0,2,3,29106,18.75,S,5,0
438,0,1,male,64.0,1,4,19950,263.0,S,5,0
439,0,2,male,31.0,0,0,C.A. 18723,10.5,S,0,1
440,1,2,female,45.0,1,1,F.C.C. 13529,26.25,S,2,0
441,0,3,male,20.0,0,0,345769,9.5,S,0,1
442,0,3,male,25.0,1,0,347076,7.775,S,1,0
443,1,2,female,28.0,0,0,230434,13.0,S,0,1
444,1,3,male,28.0,0,0,65306,8.1125,S,0,1
445,1,1,male,4.0,0,2,33638,81.8583,S,2,0
446,1,2,female,13.0,0,1,250644,19.5,S,1,0
447,1,1,male,34.0,0,0,113794,26.55,S,0,1
448,1,3,female,5.0,2,1,2666,19.2583,C,3,0
449,1,1,male,52.0,0,0,113786,30.5,S,0,1
